SiteID,Lat,Long,Elev,MTAnn,Pann,pH,OrgC,NTOT,PTOT,K,Clay,Silt,Sand,Sdep
DA14,-33.2963,116.805,250,15.3,533,4.9,5.99,0.349,170,0.1,3.8,9.5,86.7,2
DA15,-33.5288,116.7305,238,15.2,546,5.4,2.38,0.103,62,0.16,2.5,3.7,93.8,2
DA16,-33.5249,116.7341,234,15.2,544,5.8,1.4,0.062,42,0.06,2.2,2.3,95.6,1
DA17,-33.5875,116.6032,310,14.7,613,5.5,2.11,0.061,25,0.06,2.3,0.8,96.9,9
DA19,-34.0247,117.0328,302,14.7,551,6,11.1,0.276,170,0.63,2.1,4.8,93.1,2
DA22,-33.6911,117.2489,270,15.2,479,5.8,1.17,0.045,22,0.07,1.8,0.9,97.2,9
DA23,-33.5955,117.2253,261,15.3,466,5.7,2.97,0.104,62,0.24,3.6,2.3,94,2
DA24,-33.4946,117.2546,240,15.6,446,6.5,4.14,0.183,110,0.53,5.9,1.5,92.7,1
DA25,-33.6129,116.6298,310,14.7,601,5.3,2.67,0.088,41,0.12,16.6,7.5,75.9,9
DA26,-33.6965,117.2421,279,15.2,483,5.7,1.52,0.06,40,0.18,5.8,2.5,91.7,1
DA27,-33.4992,117.0668,226,15.5,463,6,0.82,0.051,40,0.28,19.6,4.6,75.8,1
DN01,-30.3714,115.9843,227,18,431,5.7,0.42,0.015,10,0.14,2.3,0.8,96.9,4
DN02,-30.2586,116.0187,300,17.8,422,5.6,0.85,0.047,26,0.16,3.1,4.6,92.3,1
DN03,-30.1881,116.0316,264,18.1,402,6.1,0.54,0.02,20,0.09,1.8,2,96.3,9
DN04,-30.1558,115.9594,245,18.2,411,6.5,1.51,0.077,52,0.39,2.7,2.2,95.2,9
DN05,-30.0114,115.9011,230,18.5,403,6.1,0.56,0.02,12,0.02,1.1,1.3,97.6,9
DN06,-30.0622,115.9198,234,18.4,406,7.4,1.11,0.068,89,0.5,5.7,3.7,90.7,1
DN08,-30.1376,115.7926,279,18.1,460,6.3,0.34,0.011,11,0.002,2.9,1,96.1,2
DN09,-30.1919,115.7344,294,17.9,489,5.8,0.95,0.022,14,0.04,1.9,1.5,96.7,7
DN10,-30.0718,115.569,316,18,522,6,0.74,0.018,1,0.06,1.3,1.1,97.6,9
DN11,-30.0304,115.5536,327,18,522,5.9,0.57,0.016,1,0.002,2.9,0.7,96.4,9
DN12,-30.0305,115.5633,325,18,519,5.8,0.56,0.016,12,0.002,2.7,1.4,95.9,9
DU01,-33.2322,117.4253,330,15.4,426,5.2,3.41,0.154,67,0.22,1.4,3,95.6,4
DU02,-33.0853,117.7819,340,15.5,385,5.5,2.15,0.104,86,0.18,2.9,2.9,94.2,3
DU03,-33.0772,117.6956,423,15.1,408,6,2.8,0.103,61,0.16,2.8,2.1,95.1,2
DU04,-33.05,117.6842,399,15.2,403,5.5,1.24,0.043,26,0.06,1.5,0.7,97.9,9
DU06,-33.3789,117.6419,272,15.6,399,5.7,1.81,0.104,79,0.53,1.2,3.5,95.3,2
DU07,-33.7186,117.855,281,15.2,400,6.2,1.47,0.076,60,0.2,5.2,2.9,94.8,2
DU09,-33.4522,118.1158,305,15.4,389,5.8,1.76,0.063,41,0.14,4.5,3.1,92.4,1
DU10,-33.3361,118.2594,367,15.2,373,6.2,3.64,0.178,290,0.75,11.1,4.8,84.1,1
DU11,-33.3425,118.2594,363,15.2,373,6.5,3.69,0.124,72,0.6,4.9,2.2,92.9,2
DU12,-33.3575,118.3142,352,15.3,366,5.9,0.95,0.031,28,0.04,6.6,1.2,92.2,9
DU14,-33.2316,117.4319,328,15.4,425,5.5,7.49,0.18,84,0.43,3.8,2.4,93.8,3
DU15,-33.0642,117.6967,416,15.1,406,6.4,3.32,0.144,120,0.36,7.5,2.4,90.1,2
DU16,-33.0892,117.7796,340,15.5,385,6,3.26,0.135,110,0.34,6.7,1.7,91.5,2
DU17,-33.0892,117.8378,310,15.7,376,5.9,2.82,0.116,92,0.28,3,2.1,94.9,1
DU18,-33.1017,117.8357,306,15.7,376,6.2,2.34,0.1,64,0.34,3.9,1.9,94.3,2
DU19,-33.7155,117.8539,281,15.2,401,5.4,0.9,0.033,17,0.03,6.4,1.1,92.5,9
DU20,-33.7108,118.3249,347,14.9,385,6.7,1.59,0.079,62,0.27,24,2.5,73.6,2
DU21,-33.6545,118.305,331,15,382,5.8,1.03,0.04,30,0.06,9.2,1,89.9,9
DU24,-33.0962,118.1579,421,15.1,377,6.1,3.07,0.117,72,0.31,10.9,4.5,84.6,1
DU25,-33.0887,117.6914,410,15.1,406,5.6,1.45,0.05,31,0.08,9.9,0.6,89.5,4
ES01,-33.7469,121.8153,88,15.9,574,5.5,0.71,0.028,1,0.02,2.3,0.8,96.9,9
ES02,-33.7283,121.7972,96,15.8,563,5.8,0.46,0.025,1,0.13,1.7,2,96.3,3
ES05,-33.4886,121.9711,175,15.6,461,6,0.87,0.032,10,0.12,1.7,2.1,96.2,1
