SiteID,Lat,Long,SpCode,CC,Family,Genus,Species,Name,lifeform
MO16,-28.8819,115.8443,CHEAUS,,Adiantaceae,Cheilanthes,austrotenuifolia,Cheilanthes austrotenuifolia,fern
MO17,-28.8976,115.8592,CHEAUS,,Adiantaceae,Cheilanthes,austrotenuifolia,Cheilanthes austrotenuifolia,fern
NO01,-28.5696,114.6414,CHEAUS,,Adiantaceae,Cheilanthes,austrotenuifolia,Cheilanthes austrotenuifolia,fern
NO02,-28.5471,114.6612,CHEAUS,,Adiantaceae,Cheilanthes,austrotenuifolia,Cheilanthes austrotenuifolia,fern
NO03,-28.5456,114.6653,CHEAUS,,Adiantaceae,Cheilanthes,austrotenuifolia,Cheilanthes austrotenuifolia,fern
NO07,-28.0001,114.6315,CHEAUS,,Adiantaceae,Cheilanthes,austrotenuifolia,Cheilanthes austrotenuifolia,fern
NO18,-28.1707,114.6455,CHEAUS,,Adiantaceae,Cheilanthes,austrotenuifolia,Cheilanthes austrotenuifolia,fern
NR14,-32.7571,116.8546,CHEAUS,,Adiantaceae,Cheilanthes,austrotenuifolia,Cheilanthes austrotenuifolia,fern
QU20,-31.9853,117.3558,CHEAUS,,Adiantaceae,Cheilanthes,austrotenuifolia,Cheilanthes austrotenuifolia,fern
QU22,-31.7985,117.4688,CHESIE,,Adiantaceae,Cheilanthes,sieberi,Cheilanthes sieberi,fern
QU22,-31.7985,117.4688,CHEAUS,,Adiantaceae,Cheilanthes,austrotenuifolia,Cheilanthes austrotenuifolia,fern
SPS030A,-32.4581,117.9981,CHESIE,,Adiantaceae,Cheilanthes,sieberi,Cheilanthes sieberi,fern
SPS059A,-31.8586,118.8442,CHESIE,,Adiantaceae,Cheilanthes,sieberi,Cheilanthes sieberi,fern
SPS070A,-33.0094,118.6022,CHESIE,,Adiantaceae,Cheilanthes,sieberi,Cheilanthes sieberi,fern
SPS078A,-33.3364,119.4936,CHESIE,,Adiantaceae,Cheilanthes,sieberi,Cheilanthes sieberi,fern
ST15,-34.2829,118.5062,CHEAUS,,Adiantaceae,Cheilanthes,austrotenuifolia,Cheilanthes austrotenuifolia,fern
TR04,-30.8908,118.654,CHEAUS,,Adiantaceae,Cheilanthes,austrotenuifolia,Cheilanthes austrotenuifolia,fern
WH13,-30.7537,117.2423,CHEAUS,,Adiantaceae,Cheilanthes,austrotenuifolia,Cheilanthes austrotenuifolia,fern
WH18,-30.8625,116.6197,CHEAUS,,Adiantaceae,Cheilanthes,austrotenuifolia,Cheilanthes austrotenuifolia,fern
WH22,-30.7547,117.2402,CHEAUS,,Adiantaceae,Cheilanthes,austrotenuifolia,Cheilanthes austrotenuifolia,fern
WK07,-32.545,117.2758,CHEAUS,,Adiantaceae,Cheilanthes,austrotenuifolia,Cheilanthes austrotenuifolia,fern
WK43,-32.8604,117.5042,CHEAUS,,Adiantaceae,Cheilanthes,austrotenuifolia,Cheilanthes austrotenuifolia,fern
WU01,-29.7358,116.5612,CHEAUS,,Adiantaceae,Cheilanthes,austrotenuifolia,Cheilanthes austrotenuifolia,fern
WU02,-29.9748,116.5821,CHEAUS,,Adiantaceae,Cheilanthes,austrotenuifolia,Cheilanthes austrotenuifolia,fern
WU03,-29.9717,116.5861,CHEAUS,,Adiantaceae,Cheilanthes,austrotenuifolia,Cheilanthes austrotenuifolia,fern
WU06,-30.0587,116.6773,CHEAUS,,Adiantaceae,Cheilanthes,austrotenuifolia,Cheilanthes austrotenuifolia,fern
WU20,-29.9807,116.5837,CHEAUS,,Adiantaceae,Cheilanthes,austrotenuifolia,Cheilanthes austrotenuifolia,fern
